timeseries,T,P,E,Q_obs,Q_sim,U_soil,S_snow,Q_snow,Q_inter,E_eal,Q_of,Q_g,Q_bf,L_soil
2019-06-01,28.729166666666668,0,3.6,0.09,0.02782420377240936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09788319242411113,0.9
2019-06-02,26.566666666666663,0,1.9,0.09,0.027235218919024244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09581119359135566,0.9
2019-06-03,27.091666666666665,0,1.9,0.09,0.02665870174163642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09378305498686429,0.9
2019-06-04,25.804166666666664,10,1.4,0.09,0.07059451641326502,0.97,0.0,0.0,0.04166939497675253,0.0,0.0,6.651499666131488,0.2325972970168972,0.9
2019-06-05,26.88333333333333,0,1.7,0.09,0.06816744030303126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22767365981233076,0.9012983410096066
2019-06-06,26.758333333333336,10,1.4,0.09,0.10992177654976563,0.97,0.0,0.0,0.04173787736199786,0.0,0.0,6.6636027888622795,0.36390989519489925,0.9012983410096066
2019-06-07,25.837499999999995,5,1.2,0.09,0.13011881482824972,0.97,0.0,0.0,0.04180547000234259,0.0,0.0,3.3061895771723173,0.4261922944068365,0.902579813560435
2019-06-08,26.975000000000005,7,2.3,0.09,0.15370880261255251,0.97,0.0,0.0,0.04183851158543633,0.0,0.0,4.101518327069666,0.5039918743048595,0.9032062409577759
2019-06-09,27.34583333333333,0,1.4,0.09,0.14694773546682127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49332333612770984,0.9039776849975576
2019-06-10,28.350000000000005,0,2.2,0.09,0.14088776940107361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48288063037493073,0.9039776849975576
2019-06-11,28.225,10,2.3,0.09,0.1761258208953969,0.97,0.0,0.0,0.04187920222644408,0.0,0.0,5.895270375528867,0.5974505065369821,0.9039776849975576
2019-06-12,27.2625,0,2.1,0.09,0.1705480722259989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5848036289524208,0.9050764854053472
2019-06-13,27.683333333333337,0,1.9,0.09,0.16510519053475875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5724244614306828,0.9050764854053472
2019-06-14,26.58750000000001,4,1.6,0.09,0.17235148615511875,0.97,0.0,0.0,0.04193715962921979,0.0,0.0,1.2253964165606184,0.586246621245303,0.9050764854053472
2019-06-15,26.325,0,1.4,0.09,0.16715993293521864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5738369083533899,0.9053019225468326
2019-06-16,26.625000000000004,0,1.5,0.09,0.1619326741502881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5616898852041188,0.9053019225468326
2019-06-17,25.14583333333334,13,0.3,0.09,0.22404661194475872,0.97,0.0,0.0,0.04194905055237293,0.0,0.0,10.321586808599035,0.768288122677488,0.9053019225468326
2019-06-18,27.525,0,1.7,0.09,0.21778955129216107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7520249414919965,0.8933368248984715
2019-06-19,28.533333333333328,0,2.8,0.09,0.2115028365101862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73610602055792,0.8933368248984715
2019-06-20,27.133333333333336,0,1.6,0.09,0.20595875724499996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7205240725481757,0.8933368248984715
2019-06-21,27.17083333333333,0,1.4,0.09,0.20102574218546726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7052719643943729,0.8933368248984715
2019-06-22,27.629166666666663,27,1.7,0.09,0.32783076892218815,0.97,0.0,0.0,0.04131793867915145,0.0,0.0,21.090277187627,1.136783299305105,0.8933368248984715
2019-06-23,27.97916666666666,0,2.3,0.09,0.3198331346960642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1127197843039751,0.8700517271570417
2019-06-24,26.4375,0,1.6,0.09,0.3116309452978859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0891656476114142,0.8700517271570417
2019-06-25,27.8,0,2.2,0.09,0.30408807435238105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0661101066687966,0.8700517271570417
2019-06-26,28.70833333333333,0,2.9,0.09,0.2971345688153518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0435426071635145,0.8700517271570417
2019-06-27,28.637500000000006,30,2.9,0.09,0.42669719007843043,0.97,0.0,0.0,0.04008974129325281,0.0,0.0,21.90430683062437,1.485124844634051,0.8700517271570417
2019-06-28,25.82083333333333,0,1.9,0.09,0.41664568367412963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4536876094114295,0.8481347742052184
2019-06-29,26.0875,0,1.1,0.09,0.40643991646078126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4229158399656505,0.8481347742052184
2019-06-30,25.8875,11,1.0,0.09,0.44506019033657573,0.97,0.0,0.0,0.03893370816763708,0.0,0.0,7.305349856591657,1.5474356488762544,0.8481347742052184
2019-07-01,25.454166666666666,0,1.0,0.09,0.43426700564336845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5146794138288366,0.8504709852413632
2019-07-02,25.200000000000003,21,1.1,0.09,0.5204153624907302,0.97,0.0,0.0,0.039056934117528426,0.0,0.0,15.403604665261598,1.8086812357607087,0.8504709852413632
2019-07-03,24.929166666666664,0,1.1,0.09,0.5075405824498554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7703949343384455,0.8414451778249611
